id_cliente,nombre,rut,email,telefono,comuna,fecha_registro,edad,rango_etario
20,Constanza Rojas,25866151-6,constanza.rojas52@gmail.com,+56936238751,Macul,2024-11-25,20.0,18-30
156,Josefa Sepúlveda,16135717-0,josefa.sepulveda1@hotmail.com,+56939297473,Santiago,2024-08-19,32.0,31-50
230,Vicente Rojas,16641197-1,vicente.rojas69@hotmail.com,+56990687312,Macul,2025-02-12,70.0,51+
101,Emilia Reyes,23225896-9,emilia.reyes89@hotmail.com,+56963692266,Maipú,2025-11-09,73.0,51+
216,Amanda Espinoza,22590469-3,amanda.espinoza2@outlook.cl,+56926393507,La Florida,2024-10-02,47.0,31-50
110,Constanza Hernández,24796935-7,constanza.hernandez81@gmail.com,+56935501820,Macul,2025-10-07,21.0,18-30
31,Emilia Soto,16252952-8,emilia.soto33@gmail.com,+56911861671,Puente Alto,2025-02-19,44.0,31-50
104,Florencia López,8642254-9,florencia.lopez68@yahoo.com,+56928829146,Ñuñoa,2025-02-02,73.0,51+
83,Antonella Flores,19467216-0,antonella.flores17@yahoo.com,+56932588066,Las Condes,2024-07-25,66.0,51+
258,Martín Hernández,10508181-2,martin.hernandez29@hotmail.com,+56925935173,Las Condes,2025-03-07,65.0,51+
245,Trinidad López,19375675-1,,+56950540066,Quilicura,2024-07-30,49.0,31-50
171,Lucas Silva,16762781-1,lucas.silva61@gmail.com,+56950990310,Las Condes,2025-03-02,47.0,31-50
91,Sofía Rodríguez,12803832-9,sofia.rodriguez15@hotmail.com,+56937322411,Macul,2025-08-18,30.0,18-30
118,Joaquín Reyes,12499082-3,joaquin.reyes88@outlook.cl,+56933582903,San Bernardo,2024-09-27,26.0,18-30
252,Isidora Martínez,16439877-3,isidora.martinez28@gmail.com,+56972680196,San Bernardo,2025-03-07,45.0,31-50
18,Renato Sepúlveda,22604204-0,renato.sepulveda42@gmail.com,+56976782671,San Bernardo,2024-11-22,27.0,18-30
138,Vicente Contreras,20839370-7,vicente.contreras16@yahoo.com,+56990730471,La Florida,2025-11-11,74.0,51+
40,Diego González,25664045-7,,+56944222072,Las Condes,2025-01-20,19.0,18-30
224,Bruno Rodríguez,11498972-K,bruno.rodriguez7@gmail.com,+56968500500,Maipú,2025-10-10,79.0,51+
221,Lucas López,9542666-2,lucas.lopez59@gmail.com,+56912668772,Las Condes,2024-10-10,31.0,31-50
212,Antonella Silva,21146748-7,antonella.silva51@hotmail.com,+56979380298,Las Condes,2024-06-26,60.0,51+
192,Renato Sepúlveda,13211449-8,renato.sepulveda73@outlook.cl,+56974567639,Ñuñoa,2025-09-14,51.0,51+
142,Isidora Hernández,23145113-7,isidora.hernandez13@yahoo.com,+56927574622,Providencia,2024-06-22,61.0,51+
253,Josefa Martínez,14547481-7,josefa.martinez22@hotmail.com,+56925168749,Puente Alto,2025-09-29,75.0,51+
139,Maite Díaz,21470846-9,maite.diaz31@outlook.cl,+56951688779,Santiago,2024-09-08,74.0,51+
1,Camila Reyes,19876371-3,camila.reyes47@yahoo.com,+56966669073,Desconocida,2025-07-14,75.0,51+
28,Trinidad Gutiérrez,14695246-1,,+56985541950,Ñuñoa,2024-10-14,24.0,18-30
242,Vicente González,20964683-8,vicente.gonzalez37@outlook.cl,+56948430671,Puente Alto,2025-04-09,69.0,51+
240,Catalina González,21360751-0,catalina.gonzalez7@outlook.cl,+56967329843,Ñuñoa,2025-01-12,32.0,31-50
167,Emilia Martínez,10614967-4,emilia.martinez39@gmail.com,+56982949632,Providencia,2025-01-17,47.0,31-50
94,Isidora Flores,14968928-1,isidora.flores46@yahoo.com,+56960654072,Peñalolén,2024-07-20,77.0,51+
9,Tomás Morales,22856372-2,tomas.morales13@yahoo.com,+56979145394,Ñuñoa,2025-09-07,77.0,51+
7,Antonella González,8610962-K,antonella.gonzalez20@yahoo.com,+56980180947,San Bernardo,2025-06-04,47.0,31-50
54,Constanza Castillo,7566863-5,constanza.castillo48@gmail.com,+56959391658,Ñuñoa,2025-01-08,52.0,51+
5,Joaquín Silva,11594085-6,joaquin.silva81@yahoo.com,+56973002611,Estación Central,2025-02-13,53.0,51+
89,Lucas Soto,25480532-7,lucas.soto55@yahoo.com,+56971657845,La Florida,2025-01-01,79.0,51+
197,Benjamín Contreras,12729592-1,benjamin.contreras64@hotmail.com,+56939373988,Santiago,2025-06-18,46.0,31-50
244,Isidora Fuentes,20552180-1,isidora.fuentes87@gmail.com,+56974076885,Quilicura,2025-07-04,50.0,31-50
206,Bruno Contreras,14098280-6,bruno.contreras63@gmail.com,+56927301329,San Bernardo,2024-09-12,50.0,31-50
60,Catalina Silva,19195282-0,catalina.silva98@outlook.cl,+56964988991,Peñalolén,2025-06-26,31.0,31-50
70,Camila Díaz,12728687-6,camila.diaz43@hotmail.com,+56972205072,Maipú,2024-11-22,63.0,51+
168,Diego Rodríguez,12119866-5,diego.rodriguez22@hotmail.com,+56936063000,Quilicura,2025-02-14,61.0,51+
236,Constanza Morales,17125954-1,constanza.morales87@hotmail.com,+56944354402,Las Condes,2025-09-01,45.0,31-50
