id_pedido,fecha_pedido,rut_cliente,nombre_cliente,region,producto,categoria,cantidad,precio_unitario,descuento_pct,estado_pedido,fecha_despacho,total_venta,segmento_precio
176.0,2024-02-15,9467646,Carlos Rodriguez,Maule,Hervidor Electrico Oster,Hogar,3.0,49990.0,14.3,despachado,2024-02-22,128524.29,medio
181.0,2024-10-01,10.213.591-8,Diego Morales,Ohiggins,Gorra New Era,Moda,7.0,49990.0,21.1,pendiente,,276094.76999999996,medio
163.0,2024-12-26,8823694,Antonella Bustos,Coquimbo,Vestido Floral H&M,Moda,1.0,49990.0,21.1,despachado,2024-02-02,39442.10999999999,medio
171.0,2024-12-12,8123742,Catalina Nunez,Araucania,Jeans Skinny Levi's,Hogar,3.0,19990.0,21.3,entregado,2024-09-07,47196.39,medio
234.0,2024-08-21,9446350-0,Ana Martinez,Biobio,Polera Oversize Zara,Moda,6.0,39990.0,5.5,entregado,2024-07-16,226743.3,medio
7.0,2024-03-19,20.705.148-8,Paula Mendez,Maule,Smart TV 43 LG,Tecnologia,2.0,79990.0,22.7,cancelado,,123664.54000000001,alto
198.0,2024-10-17,15.370.100-2,Maria Gonzalez,Ohiggins,Lampara LED de Escritorio,Hogar,1.0,149990.0,21.1,entregado,2024-03-13,118342.10999999999,alto
293.0,2024-07-18,5958693,Sofia Castro,Biobio,Mouse Inalambrico Logitech,Tecnologia,10.0,29990.0,4.7,entregado,2024-04-27,285804.7,medio
139.0,2024-08-01,17451294,Catalina Nunez,Ohiggins,Auriculares Sony WH1000,Tecnologia,8.0,14990.0,27.4,entregado,2024-09-28,87061.92,medio
70.0,2024-04-15,24.997.825-0,Antonella Bustos,Metropolitana,Notebook Lenovo IdeaPad,Tecnologia,4.0,39990.0,29.7,entregado,2024-10-10,112451.88,medio
90.0,2024-04-08,22667469,Andres Vargas,Valparaiso,Licuadora Oster 600W,Hogar,4.0,14990.0,10.3,entregado,2024-03-11,53784.12,medio
189.0,2024-02-18,12.944.741-4,Antonella Bustos,Ohiggins,Vestido Floral H&M,Moda,8.0,39990.0,29.2,pendiente,,226503.36,medio
14.0,2024-02-08,21295412-7,Antonella Bustos,Araucania,Zapatillas Adidas Ultraboost,Tecnologia,7.0,14990.0,5.5,entregado,2024-10-08,99158.84999999999,medio
245.0,2024-06-25,15.817.324-1,Paula Mendez,Maule,Chaqueta Parka Columbia,Moda,4.0,19990.0,18.7,despachado,2024-03-08,65007.479999999996,medio
51.0,2024-02-16,21625181,Diego Morales,Araucania,Licuadora Oster 600W,Hogar,10.0,14990.0,13.1,entregado,2024-06-27,130263.1,medio
140.0,2024-02-07,5514513-3,Catalina Nunez,Valparaiso,Notebook Lenovo IdeaPad,Tecnologia,7.0,29990.0,20.2,entregado,2024-10-27,167524.14,medio
